Mon Dec 11 20:53:50 UTC 2023
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@102,12%@102,6%@102,6%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1014/1586 POM_5V_GPU 0/0 POM_5V_CPU 162/424
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,13%@102,10%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.75C POM_5V_IN 1014/1557 POM_5V_GPU 0/0 POM_5V_CPU 121/409
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [21%@204,11%@204,9%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1176/1539 POM_5V_GPU 0/0 POM_5V_CPU 162/397
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@102,10%@102,7%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1054/1517 POM_5V_GPU 0/0 POM_5V_CPU 162/386
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@102,9%@102,8%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@32C POM_5V_IN 1014/1495 POM_5V_GPU 0/0 POM_5V_CPU 162/376
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,6%@102,6%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1014/1475 POM_5V_GPU 0/0 POM_5V_CPU 121/366
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@102,13%@102,13%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1014/1456 POM_5V_GPU 0/0 POM_5V_CPU 162/357
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@204,13%@204,10%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1014/1439 POM_5V_GPU 0/0 POM_5V_CPU 162/350
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@1479,15%@1479,8%@1479,11%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@33.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1866/1455 POM_5V_GPU 0/0 POM_5V_CPU 730/364
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [11%@204,11%@204,8%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1054/1441 POM_5V_GPU 0/0 POM_5V_CPU 162/357
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,10%@204,9%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1054/1427 POM_5V_GPU 0/0 POM_5V_CPU 162/350
