Tue Dec 12 07:15:33 UTC 2023
RAM 1175/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [26%@102,14%@102,8%@102,6%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1582/1654 POM_5V_GPU 0/0 POM_5V_CPU 121/434
RAM 1175/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [23%@102,12%@102,8%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.25C POM_5V_IN 1014/1622 POM_5V_GPU 0/0 POM_5V_CPU 121/418
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [24%@204,16%@204,12%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1501/1616 POM_5V_GPU 0/0 POM_5V_CPU 365/416
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [23%@204,14%@204,7%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1589 POM_5V_GPU 0/0 POM_5V_CPU 121/402
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [23%@102,11%@102,10%@102,5%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1014/1564 POM_5V_GPU 0/0 POM_5V_CPU 121/390
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [21%@102,13%@102,7%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@35.5C thermal@31C POM_5V_IN 1704/1570 POM_5V_GPU 0/0 POM_5V_CPU 121/379
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [20%@102,9%@102,10%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1547 POM_5V_GPU 0/0 POM_5V_CPU 121/369
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [22%@102,12%@102,9%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1014/1527 POM_5V_GPU 0/0 POM_5V_CPU 121/359
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [25%@102,13%@102,12%@204,13%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1508 POM_5V_GPU 0/0 POM_5V_CPU 121/350
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [21%@307,11%@102,10%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1014/1490 POM_5V_GPU 0/0 POM_5V_CPU 121/342
RAM 1176/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [21%@102,12%@102,8%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1339/1485 POM_5V_GPU 0/0 POM_5V_CPU 121/334
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [22%@102,12%@102,11%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1054/1471 POM_5V_GPU 0/0 POM_5V_CPU 121/327
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [20%@102,16%@102,8%@204,15%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@30.75C POM_5V_IN 1054/1457 POM_5V_GPU 0/0 POM_5V_CPU 121/321
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [18%@102,14%@102,9%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1014/1443 POM_5V_GPU 0/0 POM_5V_CPU 121/314
RAM 1177/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [20%@102,12%@102,8%@102,6%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.25C POM_5V_IN 1054/1431 POM_5V_GPU 0/0 POM_5V_CPU 121/308
RAM 1178/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [17%@204,12%@204,11%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1623/1437 POM_5V_GPU 0/0 POM_5V_CPU 121/303
RAM 1178/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [17%@102,9%@102,10%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.25C POM_5V_IN 1054/1426 POM_5V_GPU 0/0 POM_5V_CPU 121/298
RAM 1178/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [20%@1479,18%@1479,13%@1479,11%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1582/1430 POM_5V_GPU 0/0 POM_5V_CPU 486/303
RAM 1178/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [19%@204,11%@204,17%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1014/1419 POM_5V_GPU 0/0 POM_5V_CPU 121/298
RAM 1178/3964MB (lfb 45x4MB) SWAP 183/1982MB (cached 1MB) CPU [19%@102,10%@102,7%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1408 POM_5V_GPU 0/0 POM_5V_CPU 121/293
