Sun Jan 14 14:27:52 UTC 2024
RAM 1766/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [76%@1132,14%@1132,100%@1132,11%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2603/2694 POM_5V_GPU 85/84 POM_5V_CPU 896/965
RAM 1682/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [13%@1132,4%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40C AO@50C thermal@42.25C POM_5V_IN 2479/2682 POM_5V_GPU 85/84 POM_5V_CPU 768/955
RAM 1744/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [75%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2479/2672 POM_5V_GPU 85/84 POM_5V_CPU 812/948
RAM 1743/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [14%@1132,4%@1132,100%@1132,10%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40C AO@50C thermal@42.25C POM_5V_IN 2479/2663 POM_5V_GPU 85/84 POM_5V_CPU 812/941
RAM 1764/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [7%@1132,3%@1132,100%@1132,75%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40C AO@50.5C thermal@42.5C POM_5V_IN 2603/2660 POM_5V_GPU 85/84 POM_5V_CPU 896/939
RAM 1728/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [9%@1132,2%@1132,100%@1132,5%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2646/2660 POM_5V_GPU 85/84 POM_5V_CPU 853/935
RAM 1716/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,81%@1132,100%@1132,9%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2813/2666 POM_5V_GPU 85/84 POM_5V_CPU 1022/939
RAM 1747/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [6%@1132,5%@1132,100%@1132,5%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42C POM_5V_IN 2394/2655 POM_5V_GPU 85/84 POM_5V_CPU 726/930
RAM 1757/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [13%@1132,2%@1132,100%@1132,74%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2813/2661 POM_5V_GPU 85/84 POM_5V_CPU 1065/936
RAM 1767/3964MB (lfb 1x2MB) SWAP 209/1982MB (cached 16MB) CPU [3%@1132,3%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40C AO@50.5C thermal@42.25C POM_5V_IN 2436/2653 POM_5V_GPU 85/84 POM_5V_CPU 812/931
RAM 1774/3964MB (lfb 1x1MB) SWAP 209/1982MB (cached 16MB) CPU [82%@1132,5%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42.5C POM_5V_IN 2646/2652 POM_5V_GPU 85/84 POM_5V_CPU 896/930
RAM 1680/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [26%@1132,14%@1132,100%@1132,15%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2898/2661 POM_5V_GPU 85/84 POM_5V_CPU 1106/936
RAM 1744/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [82%@1132,5%@1132,100%@1132,9%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.75C POM_5V_IN 2813/2666 POM_5V_GPU 85/84 POM_5V_CPU 1065/940
RAM 1753/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [6%@1132,9%@1132,100%@1132,5%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2479/2660 POM_5V_GPU 85/84 POM_5V_CPU 853/937
RAM 1762/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [13%@1132,75%@1132,100%@1132,4%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50C thermal@42.75C POM_5V_IN 2770/2663 POM_5V_GPU 85/84 POM_5V_CPU 1022/940
RAM 1770/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [1%@1132,1%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40C AO@50C thermal@42.25C POM_5V_IN 2397/2655 POM_5V_GPU 85/84 POM_5V_CPU 726/933
RAM 1726/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [11%@1132,11%@1132,100%@1132,81%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@45C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 3272/2673 POM_5V_GPU 84/84 POM_5V_CPU 1188/941
RAM 1695/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [4%@1132,7%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2436/2667 POM_5V_GPU 85/84 POM_5V_CPU 769/936
RAM 1745/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [69%@1132,13%@1132,100%@1132,10%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42.25C POM_5V_IN 2394/2659 POM_5V_GPU 85/84 POM_5V_CPU 726/930
RAM 1742/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2394/2652 POM_5V_GPU 85/84 POM_5V_CPU 726/925
RAM 1764/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,74%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.25C POM_5V_IN 2394/2645 POM_5V_GPU 85/84 POM_5V_CPU 726/919
RAM 1680/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [12%@1132,2%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@38.5C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42C POM_5V_IN 2565/2643 POM_5V_GPU 85/84 POM_5V_CPU 768/915
RAM 1749/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [77%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2436/2638 POM_5V_GPU 85/84 POM_5V_CPU 769/912
RAM 1744/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [11%@1132,3%@1132,100%@1132,0%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2394/2632 POM_5V_GPU 85/84 POM_5V_CPU 769/908
RAM 1763/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [74%@1132,1%@1132,100%@1132,2%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2436/2627 POM_5V_GPU 85/84 POM_5V_CPU 769/905
RAM 1763/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [13%@1132,4%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@41C AO@50C thermal@42.5C POM_5V_IN 2479/2624 POM_5V_GPU 85/84 POM_5V_CPU 769/902
RAM 1709/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [75%@1132,6%@1132,100%@1132,1%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44C PMIC@100C GPU@40.5C AO@50C thermal@42.5C POM_5V_IN 2565/2622 POM_5V_GPU 85/84 POM_5V_CPU 853/901
RAM 1738/3964MB (lfb 5x2MB) SWAP 209/1982MB (cached 16MB) CPU [13%@1132,3%@1132,100%@1132,3%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@39C CPU@44.5C PMIC@100C GPU@40.5C AO@50.5C thermal@42.5C POM_5V_IN 2394/2617 POM_5V_GPU 85/84 POM_5V_CPU 726/897
