current,power,timestamp,voltage
0.042,4000,1705587934,226.5
0.044,4400.0,1705587936,226.6
0.044,4200.0,1705587937,226.5
0.04,3400.0,1705587939,226.6
0.042,3400.0,1705587941,226.5
0.039,3500.0,1705587943,226.5
0.035,3800.0,1705587944,226.5
0.034,3500.0,1705587946,226.6
0.039,3400.0,1705587948,226.5
0.039,4200.0,1705587949,226.6
0.041,3800.0,1705587951,226.6
0.043,3700.0,1705587953,226.6
0.059,5500.0,1705587955,226.6
0.055,5100.0,1705587957,226.6
0.047,4500.0,1705587959,226.5
0.044,4400.0,1705587961,226.5
0.047,4900.0,1705587962,226.5
0.043,4400.0,1705587964,226.5
0.043,4400.0,1705587966,226.5
0.043,4400.0,1705587968,226.6
0.051,4800.0,1705587970,226.5
0.047,4500.0,1705587972,226.5
0.046,4400.0,1705587974,226.5
0.046,4500.0,1705587975,226.5
0.047,4400.0,1705587977,226.6
0.048,4300.0,1705587979,226.5
0.049,4500.0,1705587981,226.6
0.046,4200.0,1705587983,226.6
0.049,4200.0,1705587985,226.5
0.047,4200.0,1705587987,226.5
0.044,4300.0,1705587989,226.5
0.045,4600.0,1705587991,226.5
0.045,4400.0,1705587993,226.5
0.044,4500.0,1705587995,226.5
0.043,4300.0,1705587998,226.6
0.051,5100.0,1705588000,226.5
0.044,4400.0,1705588002,226.6
0.051,5300.0,1705588004,226.5
0.044,4300.0,1705588006,226.6
0.043,4400.0,1705588008,226.6
0.046,4400.0,1705588011,226.6
0.045,4100.0,1705588013,226.5
0.045,4200.0,1705588015,226.6
0.044,4200.0,1705588017,226.5
0.045,4100.0,1705588019,226.5
0.046,5000,1705588023,226.5
0.046,4900.0,1705588026,226.5
0.044,4300.0,1705588028,226.6
0.042,4100.0,1705588030,226.5
0.042,4200.0,1705588032,226.5
0.043,4200.0,1705588034,226.5
0.043,4300.0,1705588037,226.5
0.042,4300.0,1705588039,226.5
0.044,4200.0,1705588041,226.5
0.05,4800.0,1705588043,226.6
0.047,4600.0,1705588046,226.5
0.045,4300.0,1705588048,226.5
0.042,4300.0,1705588050,226.5
0.043,4400.0,1705588052,226.5
0.043,4700.0,1705588055,226.5
0.043,4200.0,1705588057,226.5
0.044,4200.0,1705588059,226.5
0.047,4400.0,1705588061,226.5
0.048,4200.0,1705588063,226.5
0.046,4400.0,1705588066,226.5
0.044,4300.0,1705588068,226.5
0.043,4200.0,1705588070,226.5
0.043,4300.0,1705588072,226.5
0.043,4300.0,1705588075,226.5
0.044,4500.0,1705588077,226.5
0.054,7500.0,1705588079,226.5
0.072,7800.0,1705588085,226.5
0.076,7900.0,1705588088,226.5
0.071,7500.0,1705588090,226.5
0.07,7400.0,1705588092,226.4
0.072,7700.0,1705588094,226.4
0.078,7500.0,1705588097,226.5
0.07,7700.0,1705588099,226.5
0.076,7400.0,1705588101,226.5
0.075,7700.0,1705588104,226.5
0.072,7400.0,1705588106,226.5
0.075,7400.0,1705588108,226.5
0.072,7600.0,1705588110,226.4
0.076,7700.0,1705588113,226.5
0.071,7600.0,1705588115,226.4
0.076,7500.0,1705588117,226.5
0.072,7600.0,1705588120,226.5
0.073,7500.0,1705588122,226.5
0.076,7700.0,1705588124,226.4
