current,power,timestamp,voltage
0.034,3100.0,1702937330,225.5
0.039,3600.0,1702937331,225.5
0.039,3600.0,1702937332,225.5
0.043,4100.0,1702937333,225.5
0.043,3800.0,1702937334,225.5
0.039,3800.0,1702937335,225.5
0.039,3700.0,1702937336,225.6
0.039,3700.0,1702937337,225.6
0.039,3700.0,1702937338,225.5
0.024,2000,1702937339,225.5
0.024,2000,1702937340,225.5
0.024,1900.0,1702937341,225.5
0.024,2400.0,1702937342,225.5
0.037,3500.0,1702937343,225.5
0.037,3700.0,1702937344,225.5
0.037,4000,1702937345,225.5
0.037,3500.0,1702937346,225.5
0.042,3800.0,1702937347,225.5
0.042,2900.0,1702937348,225.5
0.031,2000,1702937349,225.5
0.031,2500.0,1702937350,225.6
0.024,1800.0,1702937351,225.6
0.024,1800.0,1702937352,225.6
0.024,1900.0,1702937353,225.6
0.024,2000,1702937354,225.6
0.027,2100.0,1702937355,225.6
0.027,2000,1702937356,225.5
0.024,2100.0,1702937357,225.5
0.024,1900.0,1702937358,225.5
0.026,2300.0,1702937359,225.5
0.026,2200.0,1702937360,225.5
0.024,2000,1702937361,225.5
0.024,1800.0,1702937362,225.6
0.024,1900.0,1702937363,225.6
0.024,2100.0,1702937364,225.6
0.028,2300.0,1702937365,225.6
0.028,2000,1702937366,225.6
0.024,1800.0,1702937367,225.6
0.024,1700.0,1702937368,225.5
0.024,1800.0,1702937369,225.5
0.024,2200.0,1702937370,225.5
0.024,1800.0,1702937371,225.5
0.024,1800.0,1702937372,225.6
0.025,1800.0,1702937373,225.6
0.025,2100.0,1702937374,225.6
0.031,2200.0,1702937375,225.6
0.031,1900.0,1702937376,225.6
0.025,1900.0,1702937377,225.6
0.025,2100.0,1702937378,225.6
0.029,2100.0,1702937379,225.6
0.029,2100.0,1702937380,225.6
0.024,2000,1702937381,225.6
0.024,1800.0,1702937382,225.6
0.024,1800.0,1702937383,225.6
0.024,1800.0,1702937384,225.5
0.028,1800.0,1702937385,225.5
0.028,2200.0,1702937386,225.5
0.03,2200.0,1702937387,225.5
0.03,2300.0,1702937388,225.5
0.025,1900.0,1702937389,225.5
0.025,2100.0,1702937390,225.6
0.025,2100.0,1702937391,225.6
0.025,1900.0,1702937392,225.6
0.024,1800.0,1702937393,225.6
0.024,2000,1702937394,225.5
0.024,1900.0,1702937395,225.5
0.024,2200.0,1702937396,225.6
0.025,1900.0,1702937397,225.6
0.025,2300.0,1702937398,225.5
0.04,3700.0,1702937399,225.5
0.04,3700.0,1702937400,225.6
0.039,3700.0,1702937401,225.6
