current,power,timestamp,voltage
0.038,3400.0,1705447896,222.8
0.038,3600.0,1705447897,222.8
0.033,2900.0,1705447899,222.8
0.034,3000,1705447901,222.8
0.04,3500.0,1705447903,222.8
0.041,3700.0,1705447905,222.8
0.04,3700.0,1705447907,222.8
0.04,3700.0,1705447909,222.8
0.041,3700.0,1705447911,222.8
0.041,3700.0,1705447913,222.8
0.041,3800.0,1705447915,222.8
0.043,3900.0,1705447918,222.8
0.044,4000,1705447920,222.8
0.04,3600.0,1705447922,222.8
0.041,3700.0,1705447924,222.8
0.042,3900.0,1705447926,222.8
0.04,3800.0,1705447928,222.8
0.041,3700.0,1705447930,222.8
0.04,3600.0,1705447932,222.8
0.04,3900.0,1705447934,222.8
0.041,3700.0,1705447936,222.9
0.04,3700.0,1705447938,222.8
0.039,3600.0,1705447940,222.9
0.039,3500.0,1705447942,222.9
0.039,3600.0,1705447944,222.8
0.038,3500.0,1705447946,222.9
0.039,3500.0,1705447948,222.9
0.038,3600.0,1705447950,222.8
0.038,3600.0,1705447952,222.8
0.038,3600.0,1705447954,222.9
0.039,3700.0,1705447956,222.8
0.038,3600.0,1705447959,222.8
0.039,3700.0,1705447961,222.9
0.04,3600.0,1705447963,222.9
0.04,3500.0,1705447965,222.9
0.041,3600.0,1705447967,225.5
0.042,3700.0,1705447969,225.8
0.039,3500.0,1705447972,225.8
0.037,3500.0,1705447974,226.2
0.037,3600.0,1705447976,226.2
0.037,3500.0,1705447978,226.2
0.037,3500.0,1705447981,226.2
0.037,3600.0,1705447985,226.2
0.038,3600.0,1705447988,226.2
0.038,3500.0,1705447990,226.2
0.037,3600.0,1705447992,226.2
0.038,3500.0,1705447995,226.2
0.039,3600.0,1705447997,226.2
0.039,3600.0,1705448000,226.2
0.038,3600.0,1705448002,226.2
0.037,3500.0,1705448004,226.2
0.038,3600.0,1705448007,226.2
0.038,3600.0,1705448009,226.2
0.041,3700.0,1705448012,226.2
0.037,3500.0,1705448014,226.2
0.037,3600.0,1705448016,226.2
0.037,3500.0,1705448019,226.2
