Mon Dec 11 23:01:58 UTC 2023
RAM 1465/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@102,11%@204,11%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1054/2179 POM_5V_GPU 0/0 POM_5V_CPU 121/894
RAM 1468/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [22%@102,9%@102,9%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1054/2120 POM_5V_GPU 0/0 POM_5V_CPU 121/853
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [26%@102,20%@102,13%@102,14%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1257/2077 POM_5V_GPU 0/0 POM_5V_CPU 202/821
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@102,10%@102,9%@102,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1054/2028 POM_5V_GPU 0/0 POM_5V_CPU 121/787
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [23%@204,15%@204,14%@204,12%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1136/1987 POM_5V_GPU 0/0 POM_5V_CPU 162/759
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [21%@102,9%@102,10%@204,12%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1054/1947 POM_5V_GPU 0/0 POM_5V_CPU 121/731
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [23%@102,13%@102,10%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1054/1910 POM_5V_GPU 0/0 POM_5V_CPU 162/707
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [21%@102,13%@102,10%@102,12%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1874 POM_5V_GPU 0/0 POM_5V_CPU 121/684
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,7%@102,8%@102,12%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1841 POM_5V_GPU 0/0 POM_5V_CPU 121/662
RAM 1471/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@102,12%@102,12%@102,12%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@32C POM_5V_IN 1095/1813 POM_5V_GPU 0/0 POM_5V_CPU 162/644
