Epoch,Step,Training Loss
1,1,32.20325
1,2,27.944542
1,3,32.0461
1,4,30.206202
1,5,33.569305
1,6,32.15404
1,7,28.216799
1,8,32.6482
1,9,27.571468
1,10,29.309917
1,11,26.699461
1,12,-19.84641
1,13,27.111753
1,14,31.77107
1,15,27.253704
1,16,28.843916
1,17,23.675419
1,18,29.719334
1,19,31.795338
1,20,27.757473
1,21,26.091093
1,22,26.821098
1,23,31.359882
1,24,29.961042
1,25,18.857882
1,26,21.582977
1,27,19.363228
1,28,14.684232
1,29,29.264805
1,30,-15.881682
1,31,29.451399
1,32,27.798746
1,33,29.695465
1,34,26.552832
1,35,27.899498
1,36,28.703684
1,37,20.959457
1,38,26.318813
1,39,14.655369
1,40,24.775497
1,41,21.285633
1,42,24.107754
1,43,24.106136
1,44,-21.350779
1,45,22.320107
1,46,24.032103
1,47,16.285702
1,48,20.851814
1,49,24.722628
1,50,13.078146
1,51,20.635551
1,52,14.075393
1,53,19.86455
1,54,15.115061
1,55,21.167135
1,56,18.327375
1,57,16.861658
1,58,-2.9027452
1,59,11.335723
1,60,20.388138
1,61,-223.39822
1,62,14.133889
1,63,7.772638
1,64,6.1157947
1,65,12.739534
1,66,13.847567
1,67,12.240676
1,68,0.30814233
1,69,2.0216918
1,70,7.993944
1,71,1.7501185
1,72,7.8006725
1,73,6.4472938
1,74,5.640279
1,75,2.3908048
1,76,-1.7081147
1,77,1.77579
1,78,-0.31941015
1,79,1.0708616
1,80,-0.18367656
1,81,-3.5123997
1,82,-3.2466443
1,83,-11.570836
1,84,-17.728865
1,85,-13.449359
1,86,-9.449783
1,87,-13.43784
1,88,-10.736281
1,89,-15.081927
1,90,-12.197477
1,91,-14.156803
1,92,-19.336315
1,93,-290.4857
1,94,-18.606869
1,95,-18.62015
1,96,-14.282536
1,97,-18.588139
1,98,-22.108017
1,99,-24.138247
1,100,-22.460602
1,101,-30.631603
1,102,-19.723696
1,103,-30.416422
1,104,-28.632734
1,105,-33.831284
1,106,-35.011425
1,107,-31.414629
1,108,-32.481907
1,109,-28.89808
1,110,-27.429337
1,111,-49.968693
1,112,-36.294697
1,113,-37.541958
1,114,-36.11713
1,115,-28.562418
1,116,-38.666996
1,117,-34.161697
1,118,-35.450176
1,119,-38.190853
1,120,-37.338436
1,121,-40.901497
1,122,-61.46432
1,123,-47.630894
1,124,-31.600075
1,125,-75.685394
1,126,-45.848125
1,127,-49.13018
1,128,-51.170177
1,129,-55.9447
1,130,-55.45983
1,131,-46.27704
1,132,-42.781918
1,133,-52.436726
1,134,-51.344997
1,135,-55.977158
1,136,-57.90084
1,137,-60.85338
1,138,-58.5508
1,139,-57.91475
1,140,-58.29042
1,141,-59.950657
1,142,-57.16028
1,143,-55.617188
1,144,-62.6485
1,145,-66.5475
1,146,-71.09278
1,147,-80.17778
1,148,-59.73414
1,149,-172.34744
1,150,-70.516655
1,151,-72.8077
1,152,-54.796703
1,153,-61.543438
1,154,-75.779945
1,155,-77.904045
1,156,-66.46559
1,157,-70.21687
1,158,-82.03258
1,159,-78.020805
1,160,-77.973564
1,161,-73.647385
1,162,-73.53285
1,163,-72.03367
1,164,-84.74543
1,165,-85.841934
1,166,-81.67268
1,167,-74.948166
1,168,-81.91611
1,169,-88.02369
1,170,-86.53559
1,171,-103.28617
1,172,-88.280014
1,173,-85.14051
1,174,-88.53388
1,175,-85.52144
1,176,-82.1305
1,177,-95.90415
1,178,-90.09038
1,179,-84.52998
1,180,-105.209595
1,181,-106.862785
1,182,-93.38074
1,183,-95.05388
1,184,-97.82778
1,185,-112.59086
1,186,-98.75137
1,187,-110.90534
1,188,-89.220955
1,189,-98.955696
1,190,-109.9094
1,191,-100.80304
1,192,-101.11214
1,193,-111.530815
1,194,-102.40889
1,195,-96.102066
1,196,-107.332535
1,197,-103.77368
1,198,-96.213875
1,199,-103.87953
1,200,-114.1554
1,201,-106.32408
1,202,-108.69771
1,203,-106.92559
1,204,-94.99952
1,205,-93.91152
1,206,-103.77924
1,207,-106.56872
1,208,-122.083015
1,209,-106.01181
1,210,-113.462845
1,211,-111.02866
1,212,-108.30339
1,213,-108.929924
1,214,-107.20664
1,215,-117.42062
1,216,-100.22236
1,217,-113.14797
1,218,-107.692154
1,219,-114.49766
1,220,-105.45154
1,221,-112.89719
1,222,-111.59637
1,223,-104.09995
1,224,-103.244286
1,225,-107.41103
1,226,-111.30046
1,227,-109.10134
1,228,-105.91524
1,229,-103.26851
1,230,-105.75345
1,231,-103.81583
1,232,-99.71736
1,233,-112.12214
1,234,-100.57233
1,235,-101.8005
1,236,-106.06932
1,237,-111.656815
1,238,-101.643875
1,239,-104.36706
1,240,-100.62457
1,241,-106.86886
1,242,-108.43403
1,243,-112.681915
1,244,-111.65898
1,245,-121.720795
1,246,-104.23406
1,247,-102.3578
1,248,-105.37609
1,249,-112.55832
1,250,-115.22552
1,251,-116.26
1,252,-113.03128
1,253,-107.82638
1,254,-116.79858
1,255,-109.77553
1,256,-116.66752
1,257,-118.6238
1,258,-113.63352
1,259,-111.93831
1,260,-118.324295
1,261,-117.00842
1,262,-113.51573
1,263,-119.99768
1,264,-115.94191
1,265,-115.5652
1,266,-126.5602
1,267,-120.50005
1,268,-147.28618
1,269,-112.55927
1,270,-267.13934
1,271,-127.18777
1,272,-114.05877
1,273,-119.49083
1,274,-135.10971
1,275,-121.52822
1,276,-128.30418
1,277,-121.25747
1,278,-110.773155
1,279,-119.249504
1,280,-122.837906
1,281,-142.56172
1,282,-127.33217
1,283,-147.67448
1,284,-125.37034
1,285,-105.94509
1,286,-113.59689
1,287,-120.35707
1,288,-123.85144
1,289,-131.91643
1,290,-115.54866
1,291,-128.91629
1,292,-119.04985
1,293,-124.150696
1,294,-130.23056
1,295,-120.88545
1,296,-129.18463
1,297,-121.24168
1,298,-125.96569
1,299,-123.67266
1,300,-135.91364
1,301,-96.456184
1,302,-90.7892
1,303,-123.077034
1,304,-114.70799
1,305,-119.353424
1,306,-115.16472
1,307,-118.94958
1,308,-117.355316
1,309,-112.0945
1,310,-132.51506
1,311,-125.23342
1,312,-120.51962
1,313,-128.17795
1,314,-126.95237
1,315,-131.15588
1,316,-120.19791
1,317,-119.751656
1,318,-122.31986
1,319,-97.042114
1,320,-148.26509
1,321,-119.80528
1,322,-129.94829
1,323,-131.88306
1,324,-121.774925
1,325,-133.54202
1,326,-122.75849
1,327,-138.87872
1,328,-131.19101
1,329,-144.69514
1,330,-139.48213
1,331,-123.71606
1,332,-140.78963
1,333,-128.42583
1,334,-141.21509
1,335,-128.49051
1,336,-132.12863
1,337,-135.11673
1,338,-142.05356
1,339,-100.48929
1,340,-135.86098
1,341,-97.33273
1,342,-107.16054
1,343,-124.779945
1,344,-122.682884
1,345,-119.17026
1,346,-117.731384
1,347,-115.657166
1,348,-106.813675
1,349,-123.83522
1,350,-117.08828
1,351,-121.394455
1,352,-128.7602
1,353,-179.75298
1,354,-94.819954
1,355,-115.18359
1,356,-109.88129
1,357,-112.97382
1,358,-111.03951
1,359,-127.839066
1,360,-122.165924
1,361,-136.936
1,362,-108.63375
1,363,-110.95369
1,364,-129.3336
1,365,-117.552605
1,366,-118.87982
1,367,-121.76392
1,368,-126.32835
1,369,-128.0315
1,370,-132.14748
1,371,-118.45309
1,372,-115.91608
1,373,-120.73424
1,374,-121.46359
1,375,-117.344734
1,376,-116.10328
1,377,-122.21999
1,378,-125.79217
1,379,-124.19853
1,380,-126.0065
