current,power,timestamp,voltage
0.044,4200.0,1705575264,226.6
0.044,4500.0,1705575266,226.6
0.044,4700.0,1705575267,226.6
0.034,4100.0,1705575269,226.6
0.038,3900.0,1705575271,226.6
0.039,3300.0,1705575273,226.6
0.044,4400.0,1705575274,226.6
0.04,3600.0,1705575276,226.5
0.035,3400.0,1705575278,226.6
0.035,4200.0,1705575279,226.6
0.034,3600.0,1705575281,226.5
0.034,3900.0,1705575283,226.5
0.042,3300.0,1705575285,226.5
0.039,3800.0,1705575286,226.5
0.041,3800.0,1705575288,226.5
0.037,3800.0,1705575290,226.5
0.035,3400.0,1705575292,226.5
0.035,3600.0,1705575293,226.5
0.036,3900.0,1705575295,226.5
0.036,3800.0,1705575297,226.6
0.037,3700.0,1705575299,226.5
0.042,4200.0,1705575301,226.5
0.044,4500.0,1705575303,226.5
0.042,4600.0,1705575305,226.5
0.042,4700.0,1705575307,226.5
0.044,4500.0,1705575309,226.5
0.046,4800.0,1705575311,226.5
0.048,4100.0,1705575313,226.5
0.047,4400.0,1705575315,226.6
0.053,4600.0,1705575317,226.5
0.048,4700.0,1705575318,226.5
0.048,4700.0,1705575320,226.5
0.047,4600.0,1705575322,226.5
0.047,4700.0,1705575324,226.5
0.047,4700.0,1705575326,226.5
0.046,4700.0,1705575328,226.5
0.046,4600.0,1705575330,226.5
0.046,4600.0,1705575332,226.5
0.046,4600.0,1705575334,226.5
0.046,4600.0,1705575336,226.5
0.047,4200.0,1705575339,226.5
0.047,4200.0,1705575341,226.5
0.047,4200.0,1705575343,226.5
0.05,5100.0,1705575345,226.5
0.046,4200.0,1705575347,226.5
0.046,4300.0,1705575349,226.5
0.046,4600.0,1705575351,226.5
0.043,4400.0,1705575353,226.5
0.042,4700.0,1705575355,226.5
0.042,4200.0,1705575358,226.5
0.043,4300.0,1705575360,226.5
0.048,4500.0,1705575366,226.5
0.042,4300.0,1705575371,226.5
0.047,4200.0,1705575374,226.5
0.046,4500.0,1705575376,226.5
0.042,4100.0,1705575378,226.5
0.044,4300.0,1705575380,226.5
0.042,4300.0,1705575382,226.5
0.043,4200.0,1705575385,226.5
0.044,4300.0,1705575387,226.4
0.043,4500.0,1705575389,226.5
0.05,5300.0,1705575391,226.5
0.047,4800.0,1705575398,226.5
0.044,4400.0,1705575404,226.5
0.044,4200.0,1705575409,226.5
0.049,4800.0,1705575412,226.5
0.045,4400.0,1705575414,226.5
0.042,4000,1705575416,226.5
0.042,4200.0,1705575418,226.5
0.045,4300.0,1705575420,226.5
0.042,4200.0,1705575426,94.7
0.043,4300.0,1705575431,90.4
0.042,4300.0,1705575434,226.5
0.043,4200.0,1705575440,226.5
0.046,4200.0,1705575442,226.5
0.043,4200.0,1705575445,226.5
0.042,4200.0,1705575447,226.5
0.045,4400.0,1705575449,226.5
0.078,7900.0,1705575451,226.5
0.072,7700.0,1705575457,226.5
0.076,7900.0,1705575462,226.5
0.076,8000,1705575465,226.5
0.082,7800.0,1705575467,226.5
0.082,7700.0,1705575469,226.5
0.081,7700.0,1705575472,226.6
0.082,7900.0,1705575474,226.5
0.072,7800.0,1705575476,226.6
0.075,7900.0,1705575478,226.6
0.077,7900.0,1705575481,226.6
0.076,7800.0,1705575487,74.1
0.078,7900.0,1705575493,226.5
0.077,7900.0,1705575498,226.5
0.076,8200.0,1705575501,226.5
0.076,7900.0,1705575503,226.5
0.073,7700.0,1705575505,226.5
0.072,8000,1705575508,226.5
0.075,8300.0,1705575510,226.5
0.078,7900.0,1705575512,226.5
0.08,7900.0,1705575515,226.5
0.077,8100.0,1705575517,226.5
0.076,8000,1705575519,226.5
0.074,8000,1705575522,226.5
0.067,8000,1705575524,226.5
0.075,8100.0,1705575526,226.5
0.082,7900.0,1705575528,226.5
0.077,8300.0,1705575531,226.5
0.077,8200.0,1705575533,226.5
0.076,8100.0,1705575535,226.5
0.076,7600.0,1705575538,226.4
0.073,8000,1705575540,226.5
0.079,7900.0,1705575546,226.4
0.079,8100.0,1705575549,226.5
0.072,8000,1705575551,226.4
0.076,8100.0,1705575553,226.4
0.059,4700.0,1705575556,226.5
0.05,4800.0,1705575562,226.5
0.071,7400.0,1705575567,75.2
0.07,7500.0,1705575573,91.2
0.072,7200.0,1705575579,94.3
0.079,7300.0,1705575582,226.4
0.073,7900.0,1705575587,226.5
0.075,7900.0,1705575590,226.5
0.074,7600.0,1705575592,226.5
0.071,7400.0,1705575594,226.5
0.075,7800.0,1705575597,226.4
0.076,7200.0,1705575599,226.5
0.074,8000,1705575604,226.4
0.072,7400.0,1705575607,226.4
0.077,8000,1705575609,226.4
0.077,7600.0,1705575611,226.4
0.073,7500.0,1705575613,226.4
0.078,7700.0,1705575616,226.5
0.072,7300.0,1705575618,226.5
0.074,7500.0,1705575620,226.5
0.073,7300.0,1705575623,226.5
0.072,7800.0,1705575625,226.5
0.074,8000,1705575627,226.5
0.07,7500.0,1705575629,226.5
0.071,8000,1705575632,226.4
0.073,7300.0,1705575634,226.4
0.077,7700.0,1705575636,226.5
0.074,7300.0,1705575639,226.5
0.074,8000,1705575641,226.5
0.074,7900.0,1705575643,226.4
0.071,7900.0,1705575646,226.4
0.07,7400.0,1705575648,226.4
0.074,7200.0,1705575650,226.4
