current,power,timestamp,voltage
0.033,3000,1705445974,223
0.04,3700.0,1705445980,222.9
0.035,3100.0,1705445982,222.9
0.038,3100.0,1705445984,223
0.041,3700.0,1705445987,223
0.039,3600.0,1705445989,222.9
0.039,3700.0,1705445991,223
0.039,3700.0,1705445994,223
0.04,3600.0,1705445996,223
0.041,3500.0,1705445998,222.9
0.042,3700.0,1705446005,222.9
0.04,3800.0,1705446011,222.8
0.039,3600.0,1705446016,222.9
0.04,3700.0,1705446019,223
0.039,3600.0,1705446021,223
0.039,3600.0,1705446023,223
0.04,3700.0,1705446026,222.9
0.04,3600.0,1705446028,223
0.044,4000,1705446031,222.9
0.041,3800.0,1705446033,222.9
0.038,3600.0,1705446035,223
0.04,3800.0,1705446038,223
0.039,3700.0,1705446040,222.9
0.04,3600.0,1705446042,222.9
0.042,3800.0,1705446045,222.9
0.039,3600.0,1705446047,223
0.038,3500.0,1705446049,222.9
0.039,3800.0,1705446052,223
0.039,3500.0,1705446054,222.9
0.04,3500.0,1705446056,223
0.041,3800.0,1705446059,222.9
0.039,3700.0,1705446064,222.9
0.038,3600.0,1705446070,223
0.04,3700.0,1705446073,222.9
0.039,3600.0,1705446075,222.9
0.038,3800.0,1705446078,223
0.04,3500.0,1705446080,222.9
0.04,3500.0,1705446082,223
0.041,3700.0,1705446085,222.9
0.038,3500.0,1705446087,223
0.039,3600.0,1705446089,222.9
0.039,3700.0,1705446092,222.9
0.04,3700.0,1705446094,223
0.041,3600.0,1705446096,222.9
0.041,3600.0,1705446099,222.9
