current,power,timestamp,voltage
0.036,3300.0,1705443482,226.2
0.037,3600.0,1705443484,226.1
0.034,3300.0,1705443486,226.1
0.032,2800.0,1705443488,226.2
0.038,3200.0,1705443490,226.2
0.038,3500.0,1705443492,226.1
0.038,3500.0,1705443494,226.1
0.038,3600.0,1705443496,226.1
0.038,3600.0,1705443498,226.2
0.038,3900.0,1705443499,226.1
0.038,3800.0,1705443501,226.1
0.039,3900.0,1705443503,226.2
0.041,4000,1705443505,226.1
0.039,3800.0,1705443507,226.1
0.039,3800.0,1705443509,226.1
0.04,3700.0,1705443511,226.1
0.04,3600.0,1705443513,226.1
0.04,3800.0,1705443515,226.1
0.04,3700.0,1705443517,226.1
0.04,3900.0,1705443519,226.1
0.041,3800.0,1705443521,226.1
