Tue Dec 12 09:27:31 UTC 2023
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [20%@102,10%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1014/1680 POM_5V_GPU 0/0 POM_5V_CPU 121/453
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,7%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@32.5C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1014/1647 POM_5V_GPU 0/0 POM_5V_CPU 121/436
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [20%@102,12%@102,9%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32.25C POM_5V_IN 1095/1621 POM_5V_GPU 0/0 POM_5V_CPU 121/421
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [15%@102,11%@102,8%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1054/1595 POM_5V_GPU 0/0 POM_5V_CPU 121/408
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,8%@102,7%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1054/1571 POM_5V_GPU 0/0 POM_5V_CPU 121/395
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,5%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32C POM_5V_IN 1014/1548 POM_5V_GPU 0/0 POM_5V_CPU 121/384
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,11%@102,10%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@32.5C PMIC@100C GPU@31C AO@37C thermal@32.5C POM_5V_IN 1014/1527 POM_5V_GPU 0/0 POM_5V_CPU 121/373
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [14%@102,11%@102,6%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.5C POM_5V_IN 1014/1507 POM_5V_GPU 0/0 POM_5V_CPU 121/364
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@102,10%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.5C POM_5V_IN 1014/1489 POM_5V_GPU 0/0 POM_5V_CPU 121/355
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,10%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1472 POM_5V_GPU 0/0 POM_5V_CPU 121/346
