current,power,timestamp,voltage
0.045,4000,1705587524,226.6
0.047,4500.0,1705587526,226.6
0.036,3600.0,1705587527,226.6
0.034,3800.0,1705587529,226.7
0.036,3200.0,1705587531,226.6
0.04,3800.0,1705587533,226.6
0.04,3300.0,1705587534,226.6
0.042,3200.0,1705587536,226.6
0.04,3600.0,1705587538,226.6
0.036,3700.0,1705587539,226.6
0.034,3400.0,1705587541,226.6
0.034,3400.0,1705587543,226.6
0.034,3200.0,1705587545,226.6
0.034,3700.0,1705587546,226.6
0.038,3300.0,1705587548,226.6
0.041,3100.0,1705587550,226.6
0.039,3200.0,1705587552,226.6
0.037,3900.0,1705587553,226.6
0.036,3700.0,1705587555,226.7
0.034,3200.0,1705587557,226.6
0.035,3200.0,1705587559,226.7
0.045,4400.0,1705587561,226.6
0.045,4600.0,1705587562,226.7
0.046,4300.0,1705587564,226.6
0.046,4300.0,1705587566,226.7
0.048,4600.0,1705587568,226.6
0.048,4500.0,1705587570,226.5
0.046,4400.0,1705587573,226.6
0.051,5000,1705587575,226.6
0.051,4600.0,1705587576,226.7
0.048,4400.0,1705587578,226.6
0.048,4300.0,1705587580,226.6
0.049,4200.0,1705587582,226.6
0.048,4300.0,1705587584,226.6
0.047,4200.0,1705587586,226.6
0.048,4200.0,1705587588,226.7
0.05,4300.0,1705587590,226.7
0.046,4100.0,1705587592,226.6
0.046,4200.0,1705587594,226.6
0.046,4200.0,1705587596,226.6
0.046,4200.0,1705587598,226.6
0.047,4300.0,1705587600,226.6
0.045,4100.0,1705587604,226.6
0.043,4600.0,1705587608,226.6
0.043,4400.0,1705587610,226.6
0.046,4100.0,1705587612,226.6
0.051,4400.0,1705587614,226.6
0.047,4100.0,1705587616,226.6
0.046,4500.0,1705587618,226.6
0.048,4800.0,1705587621,226.6
0.048,4800.0,1705587623,226.6
0.043,4300.0,1705587625,226.5
0.042,4300.0,1705587627,226.6
0.042,4400.0,1705587630,226.6
0.044,4400.0,1705587632,226.6
0.045,4400.0,1705587634,226.6
0.045,4200.0,1705587636,226.6
0.047,4200.0,1705587638,226.5
0.049,4300.0,1705587640,226.5
0.044,4300.0,1705587643,226.5
0.043,4300.0,1705587645,226.5
0.045,4500.0,1705587647,226.5
0.048,4800.0,1705587649,226.5
0.044,5000,1705587652,226.6
0.044,4400.0,1705587654,226.5
0.045,4300.0,1705587656,226.5
0.047,4300.0,1705587658,226.6
0.047,4600.0,1705587661,226.5
0.043,4400.0,1705587667,226.5
0.043,4400.0,1705587672,226.6
0.047,4300.0,1705587675,226.6
0.045,4400.0,1705587677,226.5
0.042,4300.0,1705587679,226.5
0.042,4100.0,1705587681,226.6
0.044,4400.0,1705587683,226.5
0.041,4200.0,1705587686,226.6
0.043,4700.0,1705587688,226.5
0.045,4300.0,1705587690,226.6
0.047,4200.0,1705587692,226.6
0.048,4400.0,1705587695,226.5
0.045,4500.0,1705587697,226.5
0.045,4500.0,1705587699,226.6
0.042,4100.0,1705587701,226.6
0.044,4300.0,1705587703,226.6
0.035,4000,1705587706,226.6
0.037,3300.0,1705587708,226.6
0.036,3300.0,1705587714,226.6
0.043,4100.0,1705587716,226.6
0.044,4200.0,1705587719,226.5
0.035,3300.0,1705587724,74.2
0.045,4500.0,1705587729,87.3
0.035,3200.0,1705587735,89.1
0.035,3100.0,1705587737,226.5
0.035,3200.0,1705587743,91.9
