current,power,timestamp,voltage
0.035,3300.0,1705445070,226.2
0.038,3700.0,1705445072,226.2
0.032,3600.0,1705445075,226.1
0.032,3100.0,1705445076,226.2
0.037,3400.0,1705445078,226.2
0.037,3500.0,1705445080,226.2
0.037,3600.0,1705445082,226.2
0.038,3600.0,1705445084,226.1
0.037,3500.0,1705445086,226.2
0.038,3600.0,1705445088,226.1
0.038,4100.0,1705445089,226.1
0.04,3800.0,1705445092,226.2
0.039,3700.0,1705445094,226.1
0.039,3900.0,1705445095,226.1
0.039,3900.0,1705445097,226.1
0.039,3900.0,1705445099,226.1
0.037,3500.0,1705445102,226.2
0.037,3600.0,1705445104,226.1
0.037,3500.0,1705445106,226.1
0.038,3600.0,1705445108,226.2
0.038,3700.0,1705445110,226.2
0.037,3500.0,1705445112,226.1
0.037,3600.0,1705445114,226.1
0.037,3600.0,1705445116,226.1
0.037,3500.0,1705445118,226.1
0.037,3500.0,1705445120,226.1
0.037,3700.0,1705445122,226.1
0.038,3700.0,1705445125,226.1
0.041,4000,1705445127,226.1
0.039,3800.0,1705445128,226.1
0.039,3800.0,1705445130,226.1
0.039,3600.0,1705445133,226.1
0.04,3500.0,1705445135,226.1
0.042,3600.0,1705445137,226.1
0.041,3600.0,1705445140,226.1
0.04,3600.0,1705445142,226.2
0.039,3700.0,1705445143,226.1
0.037,3600.0,1705445146,226.1
0.037,3600.0,1705445148,226.1
0.037,3600.0,1705445151,226.1
0.038,3700.0,1705445152,226.2
0.039,3600.0,1705445155,226.1
0.041,3500.0,1705445157,226.2
0.042,3600.0,1705445160,226.2
0.04,3500.0,1705445161,35.5
0.039,3600.0,1705445166,65.2
0.037,3600.0,1705445171,71.5
0.038,3600.0,1705445178,226.1
0.037,3500.0,1705445180,226.1
0.039,3600.0,1705445186,226.1
0.039,3800.0,1705445187,226.2
0.037,3600.0,1705445190,226.2
0.038,3700.0,1705445192,226.1
